"saleprice","salecondition"
181500,"Normal"
140000,"Abnorml"
250000,"Normal"
143000,"Normal"
307000,"Normal"
200000,"Normal"
129900,"Abnorml"
118000,"Normal"
129500,"Normal"
345000,"Partial"
144000,"Normal"
157000,"Normal"
132000,"Normal"
149000,"Normal"
90000,"Normal"
159000,"Normal"
139000,"Abnorml"
325300,"Partial"
139400,"Normal"
129900,"Normal"
154000,"Normal"
256300,"Normal"
134800,"Normal"
306000,"Normal"
207500,"Normal"
68500,"Normal"
40000,"Normal"
149350,"Normal"
165500,"Normal"
277500,"Normal"
309000,"Normal"
153000,"Normal"
109000,"Abnorml"
82000,"AdjLand"
160000,"Abnorml"
170000,"Normal"
144000,"Normal"
141000,"Normal"
319900,"Normal"
239686,"Abnorml"
249700,"Normal"
113000,"Partial"
127000,"Normal"
177000,"Normal"
114500,"Normal"
110000,"Normal"
385000,"Normal"
130000,"Normal"
180500,"Normal"
172500,"Abnorml"
438780,"Partial"
158000,"Partial"
101000,"Normal"
202500,"Normal"
140000,"Normal"
317000,"Normal"
180000,"Normal"
80000,"Normal"
225000,"Normal"
244000,"Normal"
129500,"Normal"
185000,"Normal"
144900,"Normal"
107400,"Normal"
91000,"Normal"
135750,"Normal"
127000,"Normal"
136500,"Normal"
110000,"Normal"
193500,"Normal"
153500,"Normal"
245000,"Normal"
126500,"Normal"
168500,"Normal"
260000,"Normal"
174000,"Normal"
164500,"Partial"
85000,"Abnorml"
109900,"Normal"
98600,"Abnorml"
163500,"Normal"
133900,"Normal"
185000,"Normal"
94750,"Normal"
83000,"Abnorml"
128950,"Normal"
106250,"Normal"
205000,"Normal"
178000,"Normal"
118964,"Alloca"
169500,"Normal"
250000,"Normal"
100000,"Normal"
115000,"Partial"
115000,"Normal"
190000,"Normal"
136900,"Normal"
180000,"Normal"
217000,"Abnorml"
259500,"Normal"
176000,"Normal"
139000,"Normal"
155000,"Partial"
320000,"Normal"
180000,"Normal"
100000,"Normal"
136000,"Normal"
153900,"Normal"
181000,"Normal"
84500,"Normal"
128000,"Normal"
87000,"Normal"
155000,"Normal"
150000,"Abnorml"
226000,"Normal"
244000,"Normal"
150750,"Normal"
220000,"Normal"
180000,"Normal"
174000,"Normal"
143000,"Normal"
171000,"Family"
115000,"Normal"
166000,"Normal"
125000,"Abnorml"
130000,"Normal"
105000,"Normal"
222500,"Normal"
141000,"Normal"
115000,"Normal"
372402,"Partial"
190000,"Normal"
235000,"Normal"
125000,"Family"
79000,"Normal"
109500,"Normal"
269500,"Partial"
254900,"Normal"
320000,"Partial"
162500,"Normal"
412500,"Normal"
220000,"Partial"
103200,"Normal"
152000,"Normal"
127500,"Normal"
190000,"Normal"
325624,"Partial"
183500,"Normal"
228000,"Normal"
128500,"Normal"
215000,"Normal"
239000,"Normal"
163000,"Normal"
184000,"Normal"
243000,"Normal"
211000,"Normal"
172500,"Normal"
501837,"Partial"
100000,"Normal"
177000,"Normal"
200100,"Normal"
120000,"Normal"
200000,"Normal"
127000,"Normal"
475000,"Normal"
173000,"Normal"
135000,"Normal"
153337,"Alloca"
286000,"Normal"
315000,"Normal"
184000,"Normal"
130000,"Normal"
148500,"Normal"
311872,"Partial"
235000,"Abnorml"
104000,"Abnorml"
274900,"Normal"
140000,"Normal"
171500,"Normal"
112000,"Normal"
110000,"Normal"
180500,"Normal"
143900,"Normal"
141000,"Normal"
277000,"Normal"
145000,"Normal"
98000,"Normal"
186000,"Normal"
252678,"Partial"
134450,"Normal"
107000,"Family"
311500,"Normal"
167240,"Partial"
200000,"Normal"
179900,"Normal"
97000,"Abnorml"
386250,"Normal"
112000,"Abnorml"
290000,"Abnorml"
106000,"Normal"
125000,"Normal"
192500,"Normal"
148000,"Normal"
403000,"Normal"
94500,"Normal"
216500,"Normal"
89500,"Normal"
194500,"Normal"
318000,"Partial"
113000,"Normal"
262500,"Normal"
110500,"Normal"
79000,"Normal"
120000,"Normal"
205000,"Normal"
241500,"Normal"
137000,"Normal"
140000,"Normal"
277000,"Normal"
76500,"Normal"
235000,"Family"
173000,"Normal"
158000,"Normal"
145000,"Normal"
230000,"Normal"
207500,"Normal"
97000,"Normal"
176000,"Normal"
151000,"Normal"
130000,"Normal"
73000,"Normal"
175500,"Normal"
185000,"Normal"
179500,"Normal"
120500,"Normal"
148000,"Normal"
266000,"Partial"
241500,"Normal"
290000,"Normal"
139000,"Normal"
124500,"Normal"
205000,"Normal"
201000,"Normal"
141000,"Normal"
415298,"Partial"
192000,"Normal"
228500,"Normal"
185000,"Partial"
207500,"Normal"
244600,"Partial"
179200,"Normal"
164700,"Partial"
159000,"Normal"
88000,"Normal"
122000,"Normal"
153575,"Normal"
135900,"Normal"
131000,"Normal"
235000,"Normal"
167000,"Normal"
142500,"Normal"
152000,"Normal"
239000,"Normal"
